kode,name,root,report,type,group,parent_id
5,Belanja BLUD,1,induk,belanja,lra,
5.1,Belanja Operasi,0,kelompok,belanja,lra,16
5.1.01,Belanja Pegawai,0,jenis,belanja,lra,17
5.1.01.01,Belanja Jasa Pelayanan Bagi ASN,0,rincian objek,belanja,lra,18
5.1.01.01.001,Belanja Jasa Pelayanan Bagi ASN,0,rincian,belanja,lra,19
5.1.01.02,Honorarium,0,rincian objek,belanja,lra,18
5.1.01.02.001,Honorarium Penanggungjawaban Pengelolaan Keuangan BLUD,0,rincian,belanja,lra,21
5.1.01.02.002,Honorarium Pengadaan Barang/jasa,0,rincian,belanja,lra,21
5.1.01.02.003,Honorarium Pengelolaan BMD yang Menghasilkan Pendapatan,0,rincian,belanja,lra,21
5.1.01.03,Tunjangan BLUD,0,rincian objek,belanja,lra,18
5.1.01.03.001,Tunjangan Pengabdian,0,rincian,belanja,lra,25
5.1.01.04,Iuran Asuransi,0,rincian objek,belanja,lra,18
5.1.01.04.001,Iuran Tunjangan Hari Tua,0,rincian,belanja,lra,27
5.1.01.04.002,Iuran Tunjangan Kesehatan,0,rincian,belanja,lra,27
5.1.01.04.003,Iuran Tunjangan Kecelakaan Kerja,0,rincian,belanja,lra,27
5.1.01.04.004,Iuran Tunjangan Kematian,0,rincian,belanja,lra,27
5.1.02,Belanja Barang dan Jasa,0,jenis,belanja,lra,17
5.1.02.01,Belanja Pakai Habis,0,rincian objek,belanja,lra,32
5.1.02.01.001,Belanja Bahan-Bahan Bangunan dan Konstruksi,0,rincian,belanja,lra,33
5.1.02.01.002,Belanja Bahan-Bahan Kimia,0,rincian,belanja,lra,33
5.1.02.01.003,Belanja Bahan-Bahan Bakar dan Pelumas,0,rincian,belanja,lra,33
5.1.02.01.004,Belanja Bahan-Bahan Baku,0,rincian,belanja,lra,33
5.1.02.01.005,Belanja Bahan-Bahan/Bibit Tanaman,0,rincian,belanja,lra,33
5.1.02.01.006,Belanja Bahan-Isi Tabung Pemadam Kebakaran,0,rincian,belanja,lra,33
